"trip_id,""starttime"",""stoptime"",""bikeid"",""tripduration"",""from_station_name"",""to_station_name"",""from_station_id"",""to_station_id"",""usertype"",""gender"",""birthyear"""
"452,""10/13/2014 11:41"",""10/13/2014 11:51"",""SEA00259"",575.307,""Occidental Park / Occidental Ave S & S Washington St"",""1st Ave & Marion St"",""PS-04"",""CBD-05"",""Member"",""Male"",1986"
"453,""10/13/2014 11:41"",""10/13/2014 11:51"",""SEA00178"",571.807,""Occidental Park / Occidental Ave S & S Washington St"",""1st Ave & Marion St"",""PS-04"",""CBD-05"",""Member"",""Male"",1953"
"454,""10/13/2014 11:41"",""10/13/2014 11:51"",""SEA00123"",563.763,""Occidental Park / Occidental Ave S & S Washington St"",""1st Ave & Marion St"",""PS-04"",""CBD-05"",""Member"",""Male"",1986"
"455,""10/13/2014 11:42"",""10/13/2014 11:49"",""SEA00373"",437.689,""Occidental Park / Occidental Ave S & S Washington St"",""City Hall / 4th Ave & James St"",""PS-04"",""CBD-07"",""Member"",""Male"",1967"
"456,""10/13/2014 11:43"",""10/13/2014 11:51"",""SEA00121"",483.154,""Occidental Park / Occidental Ave S & S Washington St"",""1st Ave & Marion St"",""PS-04"",""CBD-05"",""Member"",""Female"",1986"
"457,""10/13/2014 11:43"",""10/13/2014 11:51"",""SEA00029"",479.382,""Occidental Park / Occidental Ave S & S Washington St"",""1st Ave & Marion St"",""PS-04"",""CBD-05"",""Member"",""Female"",1987"
"458,""10/13/2014 11:43"",""10/13/2014 11:52"",""SEA00436"",533.532,""Occidental Park / Occidental Ave S & S Washington St"",""1st Ave & Marion St"",""PS-04"",""CBD-05"",""Member"",""Female"",1987"
"459,""10/13/2014 11:43"",""10/13/2014 11:51"",""SEA00118"",481.629,""Occidental Park / Occidental Ave S & S Washington St"",""1st Ave & Marion St"",""PS-04"",""CBD-05"",""Member"",""Male"",1974"
"460,""10/13/2014 11:43"",""10/13/2014 11:51"",""SEA00177"",460.772,""Occidental Park / Occidental Ave S & S Washington St"",""1st Ave & Marion St"",""PS-04"",""CBD-05"",""Member"",""Male"",1967"
"461,""10/13/2014 11:43"",""10/13/2014 11:51"",""SEA00348"",459.165,""Occidental Park / Occidental Ave S & S Washington St"",""1st Ave & Marion St"",""PS-04"",""CBD-05"",""Member"",""Female"",1983"
